타임스탬프,1.  본인의 성별,2. 결과 연예인의 성별,개발 경험이 있으신가요?,3. 전반적인 만족도,3-1. 불만족 하셨다면 그 이유가 무엇인가요?,4. 서비스 속도는 어떠셨나요?,5. 닮은 꼴 배우 결과가 사용자와 비슷하다 느끼셨나요?,6. 닮은 배우의 화장을 입힌 결과가 화장을 입히기 전과 비교했을 때 어떠신가요?,7. 추가되었으면 하는 연예인 목록(최대 2개),서비스 관련해서 자유롭게 의견을 적어주세요 :)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2022. 6. 8 오후 6:13:14,남성,여성,아니오,3,디자인이 별로임,5,2,더 이상하다.,유튜버,없음
2022. 6. 8 오후 6:13:37,여성,여성,네,1,테스트,3,5,더 이상하다.,아이돌,.
2022. 6. 8 오후 6:13:55,남성,남성,네,4,속도가 느림,3,3,차이가 없다.,해외 배우,
